run,status,best_iter,best_psnr,best_ssim,best_lpips,last_iter,last_psnr,last_ssim,last_lpips,recommended_ckpt,latest_ckpt
ECAFormer_baseline_fair,,,,,,,,,,,
ISB_ecaformer_full_s19,,,,,,,,,,,
ISB_ecaformer_full_s19_r5_b_identity_softloss,,,,,,,,,,,
ISB_ecaformer_full_s19_r6_a_identity_unclamp_det,,,,,,,,,,,
ISB_ecaformer_full_s19_r6_b_identity_unclamp_det_lowlr,,,,,,,,,,,
ISB_ecaformer_full_s19_r6_c_identity_unclamp_det_wd5e4,,,,,,,,,,,
