iter,psnr,ssim,lpips
500,17.58230738400722,0.617785382270813,0.2954021821419398
1000,18.420899098741952,0.6764396687348684,0.2723966976006826
1500,18.976305809438635,0.6922587633132935,0.2583124647537867
2000,19.49901223865577,0.7139105200767517,0.23759762545426685
2500,20.03390454339684,0.7298011700312297,0.23288781891266505
3000,20.353337124400685,0.7328642129898071,0.22976534316937128
3500,20.51860559192065,0.7352894425392151,0.2224450469017029
4000,20.64202159694698,0.7411022504170736,0.21547783215840657
4500,20.743102340135103,0.7463364005088806,0.20889475146929423
5000,20.827407734499428,0.7495818932851156,0.20390333086252213
5500,20.57013040403357,0.7427116314570109,0.2012752135594686
6000,18.90406977483578,0.7294603625933329,0.205627112587293
6500,18.783368502723125,0.7428333322207133,0.2011219064394633
7000,19.343409539265398,0.7589768449465434,0.19333116511503856
7500,20.55889846110751,0.7723815123240153,0.18457332452138264
8000,21.644133478649753,0.7821232120196024,0.17809285819530488
8500,21.74094033910142,0.7895402749379475,0.17359671592712403
9000,21.900293594657736,0.7899039268493653,0.17156188090642294
9500,21.89504722909305,0.7898517489433289,0.17007613629102708
10000,21.999816306739312,0.7924038529396057,0.1683738981684049
10500,22.10157527728609,0.7947938283284505,0.1668614034851392
11000,22.06611296792881,0.7941356102625529,0.16669736355543135
11500,21.973457785796594,0.7940010984738668,0.16641892045736312
12000,21.917103553881248,0.7931362509727478,0.1663793459534645
12500,22.03366319595853,0.7943647503852844,0.16593698859214784
13000,22.077759736706785,0.7964109579722086,0.16527848740418752
13500,22.042048274078365,0.7968943277994792,0.16513912975788117
14000,21.988578584769325,0.795625360806783,0.1649905507763227
14500,21.832721398161606,0.7947054982185364,0.16542593836784364
15000,21.818677017187042,0.797475254535675,0.16447433481613796
15500,21.8627343841164,0.7989219983418783,0.16384058942397436
16000,21.853685514954183,0.7993058323860168,0.16333750238021214
16500,21.866665909625894,0.8001905600229899,0.16279583275318146
