iter,psnr,ssim,lpips
500,17.576554911598585,0.620604024330775,0.2945342272520065
1000,18.402635484255125,0.6774910628795624,0.27255578637123107
1500,19.003471300385673,0.6938490231831869,0.2585696885983149
2000,19.517990539263117,0.7228771289189656,0.23699030776818594
2500,20.009521937782797,0.7340982596079508,0.23196466813484828
3000,20.248658881052837,0.7376564224561055,0.22749691158533097
3500,20.38172448849796,0.7353541533152262,0.2218281437953313
4000,20.634573155841732,0.7411905328432719,0.21373835454384485
4500,20.772692040513796,0.7448145588239033,0.20770593186219533
5000,20.79634997986093,0.749490483601888,0.20321559756994248
5500,19.92577439220835,0.7543255885442098,0.20297289391358694
6000,16.372428020358896,0.7268344918886821,0.2229216456413269
6500,15.986532176561825,0.7239392320315043,0.2219866047302882
7000,16.863869169814397,0.7398515065511068,0.20875710646311443
7500,18.50754828949643,0.7625594337781271,0.19205519060293832
8000,20.168224422408546,0.7780391971270243,0.18282574663559595
8500,21.796751858181143,0.7900915781656901,0.17601036379734675
9000,22.23773557865707,0.793211571375529,0.17318188796440762
9500,22.374706118089136,0.794446595509847,0.17212204585472743
10000,22.358825814030258,0.7948375980059306,0.17164563288291296
10500,22.231424714989842,0.7939134915669759,0.17146930644909542
11000,22.18839694584891,0.7919346173604329,0.17161453664302825
11500,22.2121448288408,0.7913758595784505,0.17123842785755794
12000,22.127745853968182,0.7911620736122131,0.17096973458925882
12500,22.19148873873123,0.7918523391087849,0.17022304435571034
13000,22.112579771940148,0.7921458760897319,0.16959443589051565
13500,22.159820173779867,0.7913516163825989,0.1694466566046079
