iter,psnr,ssim,lpips
500,17.20991193726635,0.6010611255963644,0.3042786111434301
1000,18.292828248161435,0.668752501408259,0.27281556725502015
1500,18.935122032170053,0.6936718344688415,0.2648094713687897
2000,19.4715447104793,0.723171079158783,0.2510513077179591
2500,19.678653522272793,0.7270577907562256,0.24541551371415457
3000,19.834723466162085,0.7248780985673269,0.23699491719404855
3500,20.161424833638353,0.7292321979999542,0.23042311469713847
4000,20.441299167090104,0.7310992042223613,0.22540547847747802
4500,20.637965903277617,0.7395704825719197,0.21892006446917853
5000,20.845082174857172,0.7497762719790141,0.2137413278222084
5500,20.923988286664603,0.7562759637832641,0.20897462914387385
6000,20.89336725367475,0.7613323330879211,0.204751917719841
6500,21.010930053646458,0.7671969254811605,0.20078739474217097
7000,20.879665359788625,0.7677640676498413,0.19919815013806025
7500,21.019694043602065,0.7717403610547383,0.19698114643494288
8000,21.151622056771583,0.7734699249267578,0.19559023380279542
8500,21.19650625144316,0.7756231784820556,0.1945585345228513
9000,21.24545398032526,0.7735650936762491,0.19489044547080994
9500,21.17934436152853,0.7720651308695475,0.19481344570716222
10000,21.175309588351386,0.7699475526809693,0.19464149425427119
10500,21.218589883323922,0.7706043362617493,0.19374359846115113
11000,21.24322565715316,0.7729329347610474,0.19114971707264583
11500,21.307719424870427,0.7750771641731262,0.1885632072885831
12000,21.383728866525853,0.776707132657369,0.18639045357704162
12500,21.446881885880778,0.778705608844757,0.18381522297859193
13000,21.44732806263513,0.7810866475105286,0.18113848914702732
13500,21.45157258542833,0.7830792506535847,0.1789319967230161
14000,21.555410598591443,0.7853777170181274,0.176304625471433
14500,21.57454121802796,0.7876917958259583,0.17432184517383575
15000,21.589218722329385,0.7914919018745422,0.1723450904091199
15500,21.609117869758986,0.7947718183199565,0.17060749034086864
16000,21.617490499909675,0.7958548863728842,0.16966235488653184
16500,21.589619377837774,0.7985712130864461,0.1679227516055107
17000,21.518719411044334,0.8007647037506104,0.1668386275569598
17500,21.442419978905722,0.8016683141390483,0.16614462534586588
18000,21.38950144987125,0.802104115486145,0.16613488843043644
18500,21.48468904235381,0.8032430489857991,0.1652008756995201
19000,21.46616706395822,0.8041027704874675,0.16469138860702515
19500,21.46710273171799,0.8046944459279378,0.16454376478989918
20000,21.51195953144293,0.8063929637273153,0.1645427629351616
