iter,psnr,ssim,lpips
500,17.65522853296917,0.6213414212067921,0.2941986401875814
1000,18.4184942597735,0.6761813124020895,0.2728380481402079
1500,18.918668402414767,0.6914865891138713,0.2601947605609894
2000,19.466502922487425,0.7173798084259033,0.2392651105920474
2500,20.094370106382723,0.7348321874936422,0.23091387301683425
3000,20.326354044222036,0.7360087672869364,0.229020689924558
3500,20.455386866134713,0.73520800669988,0.2229148099819819
4000,20.54420229259229,0.7373474597930908,0.2164987862110138
4500,20.66820916082502,0.7449074705441793,0.2103663886586825
5000,20.7465106087929,0.7496945063273112,0.20505239466826122
5500,20.79746573721749,0.7536170641581218,0.1999355455239614
6000,20.81425724631979,0.7561156352361044,0.19667424609263737
6500,20.903145235722242,0.7566732366879781,0.19390774418910345
7000,21.019098025547674,0.7594531615575154,0.1907800853252411
7500,19.102858777000428,0.7386261423428854,0.19815062979857126
8000,16.653583350041046,0.7030680934588115,0.2133905827999115
8500,16.024741960641556,0.7073781768480937,0.21735773185888926
9000,16.503012353666367,0.7259245276451111,0.20952428778012594
9500,17.480554128193663,0.7528658986091614,0.19628207633892694
10000,18.975393132357123,0.7776981155077617,0.18321009427309037
10500,20.749795506445828,0.7939359307289123,0.1742343823115031
11000,22.386195103101624,0.8029516935348511,0.1683985491593679
11500,22.688856297485312,0.8041773955027263,0.1663784682750702
12000,22.631868104377833,0.801905345916748,0.16652384748061497
12500,22.673943822878837,0.7994924267133077,0.16688940028349558
13000,22.547120111572443,0.7959374189376831,0.16751290063063304
13500,22.469997134080565,0.7936390240987142,0.16733274310827256
14000,22.39600367530859,0.7919943491617839,0.16683144370714822
14500,22.081822084220104,0.7901302695274353,0.16747171580791473
15000,21.955896128838795,0.7893059690793355,0.16743244379758834
15500,21.926785007499216,0.7899848063786824,0.16644473026196163
