iter,psnr,ssim,lpips
500,9.234768622127506,0.1086427970478932,0.7076822578907013
1000,9.677662982014805,0.11789247691631317,0.6698402345180512
1500,9.940941958028406,0.12977649085223675,0.6481809119383494
2000,9.919172935702495,0.15809009956816833,0.6233197371164958
2500,9.585174102248718,0.176991266446809,0.5745084762573243
3000,9.518493662258296,0.19346256032586098,0.527517702182134
3500,9.613273307637185,0.19885702232519786,0.5161141415437063
4000,9.745868078290089,0.20164414222041765,0.5178928295771281
4500,9.780449053493859,0.20108635897437732,0.524707003434499
5000,9.83893720898567,0.2019697626431783,0.5288086930910746
5500,10.007931351137024,0.20611149221658706,0.5296673595905304
6000,10.036590690049815,0.20660453252494335,0.5283562580744425
6500,10.072332566251161,0.20714983195066453,0.5280170321464539
7000,10.062270956270208,0.20614152538279693,0.5293368498484293
7500,10.041840139881169,0.2050968518247828,0.5292539755503337
8000,10.034675360084243,0.20442173865934213,0.5278938174247741
8500,10.074821426347816,0.20454497585693995,0.528074057896932
9000,10.122534045506306,0.20504385344684123,0.5280547718207041
9500,10.102600913760847,0.20540454251070817,0.5260819474856059
10000,10.126327395908119,0.20517388607064882,0.5245551069577535
10500,10.064063220521756,0.20437862152854602,0.5220499098300934
11000,10.077521629706297,0.2045846519370874,0.5203175803025564
11500,10.091536751978714,0.2044328987598419,0.518179984887441
12000,10.122696460192634,0.20527853841582935,0.5164373993873597
12500,10.050873061739763,0.2046022782723109,0.512329242626826
13000,10.040607548397656,0.20454623972376187,0.509613698720932
13500,10.021523369182779,0.20461484541495642,0.5081392526626587
14000,9.984073720131471,0.2055377706885338,0.5035497824350993
14500,9.982933429960264,0.20635233943661055,0.5014414230982462
15000,10.00590141284371,0.2066448373099168,0.5010317424933116
