iter,psnr,ssim,lpips
5000,21.019198039303728,0.7553114056587219,0.17196667641401292
10000,21.72054009257602,0.8085556705792745,0.10957267582416534
15000,21.793697669017757,0.8197024027506511,0.10213644206523895
20000,22.047921831013234,0.8285628159840902,0.0975034733613332
25000,22.248998024736327,0.8317545771598815,0.09491582115491232
30000,22.70809600768688,0.8319167176882426,0.09364909753203392
35000,22.89703073946023,0.8364072759946187,0.09103349124391874
40000,22.804634128932467,0.8357926885286967,0.09019296864668529
45000,23.25844788184538,0.8375857909520467,0.08816301077604294
50000,23.187148899107328,0.8399120608965556,0.08764012530446053
