iter,psnr,ssim,lpips
500,7.787477727876862,0.009030004839102428,0.9090189894040426
1000,9.001301365212694,0.021000155278791986,0.8164105534553527
1500,12.09866337523495,0.0837709879813095,0.6642247239748637
2000,14.718287741703296,0.18817975881199042,0.5433858434359232
2500,16.465081859190263,0.32415871918201444,0.4376673102378845
3000,17.814548894111628,0.4700842718283335,0.3591839144627253
3500,18.993161991104976,0.5945977886517843,0.30407222708066306
4000,19.856421604586227,0.6747809966405233,0.26394104262193047
4500,20.394481685742747,0.7133008956909179,0.23997647712628048
5000,20.727939369438214,0.7312404751777649,0.22584882974624634
5500,20.941989539944004,0.73765762646993,0.21551184604565302
6000,21.02887246546891,0.7425447821617126,0.20845977465311685
6500,21.109957519645743,0.7458674629529317,0.2028343265255292
7000,20.189354009785458,0.7420954465866089,0.20037405689557394
7500,18.894453803490823,0.7418174743652344,0.19763992180426915
8000,17.985312733900507,0.7381736199061076,0.1993641212582588
8500,18.077037884071142,0.7451880057652791,0.19666421463092168
9000,18.692057051007943,0.7578024625778198,0.1894489899277687
9500,19.611115399768707,0.77169109582901,0.1808263063430786
10000,20.74885333461047,0.779981529712677,0.17444812804460524
10500,21.54362992571361,0.785991370677948,0.17077253659566244
11000,22.14373579367419,0.790486216545105,0.16773025492827098
11500,22.214701283289052,0.7930027961730957,0.16597106407086054
12000,22.024619710483293,0.7907046437263489,0.16601981570323307
12500,21.99699626970767,0.791293199857076,0.16536219269037247
13000,21.85138109838073,0.7929592490196228,0.16515099157889684
13500,21.857070282661287,0.7925081968307495,0.16549783696730933
14000,21.961908457780723,0.7916851321856181,0.16471467465162276
14500,21.827859022186626,0.7897637685139974,0.1653700033823649
15000,21.750430079191037,0.7930276910463969,0.16421377261479694
15500,21.716262476439063,0.7959100246429444,0.16349527885516485
