iter,psnr,ssim,lpips
500,17.601177227413924,0.6178447922070821,0.2954174131155014
1000,18.41746093811839,0.6771324197451274,0.27213365534941353
1500,18.949463092809037,0.6927034159501394,0.26107023358345033
2000,19.49766196074809,0.7198510487874349,0.23834377378225327
2500,20.046964401986997,0.7334644118944804,0.2315936009089152
3000,20.308284685044534,0.7351088007291158,0.2293095111846924
3500,20.547594245791895,0.7378696362177531,0.22375562985738118
4000,20.634034908404463,0.7411609450976054,0.21761423548062642
4500,20.69342062681682,0.7452329317728679,0.21095208128293355
5000,20.811174755886512,0.7489578366279602,0.20567487279574076
5500,20.850659423612235,0.7493513027826945,0.20063241968552273
6000,20.879476935523194,0.7523991545041402,0.1976417397459348
6500,20.955484257506132,0.7593617518742879,0.1936491216222445
7000,21.041322043654798,0.7633784095446269,0.1901919037103653
7500,19.941668628045008,0.7572246750195821,0.191721743841966
8000,16.663083313716122,0.7239150404930115,0.21076538562774658
8500,15.441404767650432,0.7100776632626852,0.22190591593583425
9000,15.02523495780322,0.7065182447433471,0.2264645298322042
9500,15.31217929179136,0.7186021049817403,0.22030750960111617
10000,15.946810790123111,0.7321355064709981,0.2107169931133588
10500,16.875498783847164,0.752401065826416,0.19868396321932474
11000,17.90457107137473,0.7696072419484457,0.1887006416916847
11500,19.225097318102005,0.7831116040547689,0.17988134721914928
12000,20.56188762811207,0.7921590288480123,0.17439017395178477
12500,21.709553131575106,0.7980546871821086,0.17051305423180263
13000,22.343880798627108,0.8014237682024637,0.16787326435248057
13500,22.450663346122308,0.8016635219256083,0.16708243936300277
14000,22.587184586777934,0.8005938529968262,0.16639928470055262
14500,22.510386501905423,0.7999512950579325,0.16627710511287053
15000,22.363042400983822,0.7997549653053284,0.1658531571427981
15500,22.311625451565014,0.7997978210449219,0.1650595044096311
16000,22.270198153261536,0.7996410806973775,0.16387148400147755
16500,22.274608576740295,0.8009136080741882,0.16257859071095784
17000,22.11783841508672,0.8006639838218689,0.16198423355817795
17500,22.251043877265925,0.802597991625468,0.16104410141706466
18000,22.236737975880157,0.8014323989550273,0.16149300684531528
18500,22.12507611161923,0.8015379389127095,0.16094674120346705
19000,22.09279855550646,0.8014363725980123,0.16091917951901755
19500,21.950847854526682,0.8011357148488363,0.16093206504980723
20000,21.867724328372123,0.8008429805437723,0.16121681878964106
